"","??¥","????��","????","????"
"1",2016-03-15,17.5042219917004,17.1776257131105,17.8735551477672
"2",2016-03-16,17.6353771719752,14.6032040644397,20.5997803750423
"3",2016-03-17,17.8294965641558,13.5132409946182,22.0338267372856
"4",2016-03-18,17.9518934347631,12.5391591091097,23.6531127954234
"5",2016-03-19,18.0991359479441,11.3696661510253,23.2853545216106
"6",2016-03-20,18.229394701679,12.3776506695276,25.2150192357376
"7",2016-03-21,18.3879442759,11.6294155179891,24.3516049456257
"8",2016-03-22,18.528536734734,12.1117923320835,25.7248224193806
"9",2016-03-23,18.6168611829207,12.4407963918883,24.4187749141987
"10",2016-03-24,18.7115434277569,13.0759210179536,25.590140726652
"11",2016-03-25,18.8269296287521,12.7900913955091,25.291030794125
"12",2016-03-26,18.9709195108904,13.7768281587132,24.0576802227662
"13",2016-03-27,19.4238696826474,13.8012120411711,25.3516271495949
"14",2016-03-28,19.8856882381641,14.0032735689604,25.0209324345227
"15",2016-03-29,20.3077545007622,14.581708133836,27.2855294492367
"16",2016-03-30,20.7955018674021,14.5078373752967,28.1970849273476
"17",2016-03-31,21.2016248628914,15.6974232867151,27.6980630029783
"18",2016-04-01,21.7044694921836,15.5904362786977,27.3055033987754
"19",2016-04-02,22.1462277918525,16.7559555540645,27.0436238056748
"20",2016-04-03,22.6387521780001,17.9795060202393,26.8939867724761
"21",2016-04-04,22.9267084806168,18.8673948011675,27.4092245168561
"22",2016-04-05,23.1926188056632,19.2423767348534,27.1395193044486
"23",2016-04-06,23.4563578823017,20.4786101227168,26.6109605923681
