"","mean","sd","2.5%","25%","50%","75%","97.5%"
"mu[1]",17.5031418851549,0.092390596521678,17.3288100074884,17.4412481977519,17.4969540400274,17.5666896693388,17.6850355531632
"mu[2]",17.6432641743524,0.841260938505096,15.9506265146562,17.0869287491776,17.6652795090004,18.1889331872936,19.2633865739287
"mu[3]",17.8139266554868,1.13862649634622,15.5464082396218,17.0192110272641,17.8335919533672,18.5755793774782,20.0013734838725
"mu[4]",17.9636421022654,1.34878339981034,15.3784334732471,17.0620845223265,17.938498117813,18.9115687626725,20.4610305820891
"mu[5]",18.1008158809985,1.4524180378648,15.2151015786915,17.1353381618418,18.1288085818811,19.1499887237645,20.7150521142888
"mu[6]",18.2456072478536,1.56103993926496,15.1327569873359,17.1684271597527,18.306513468077,19.3513402501577,21.0965499176335
"mu[7]",18.3964398813602,1.63069735557493,15.1847494638028,17.2857200552352,18.3640552147115,19.5360294169405,21.4565019280835
"mu[8]",18.5040835655808,1.62373843441893,15.1210212805962,17.4341125456086,18.5162496908463,19.6451407743776,21.5311964127091
"mu[9]",18.6082208400623,1.60110312742234,15.3389862448392,17.5119873631879,18.6323521462342,19.765390006359,21.6235638463815
"mu[10]",18.7294635641737,1.51047356497369,15.6912464876266,17.6797797264695,18.7691661327451,19.7319360554628,21.5957347273264
"mu[11]",18.8437005134309,1.4253406365409,16.0243630282543,17.7901516717956,18.8819082755333,19.8174485999165,21.6344186061059
"mu[12]",18.9770479707088,1.27573161028007,16.498062405979,18.0825432518969,18.983505501104,19.867094631842,21.441411779572
"mu[13]",19.4125659822596,1.41978225677941,16.7012231609682,18.4421563459145,19.4057410517904,20.3886231254738,22.1919523652386
"mu[14]",19.87874497216,1.47041357904464,17.0903208415105,18.8014838443176,19.8347164446386,20.95248745469,22.7282917109104
"mu[15]",20.3317627441149,1.53836551908059,17.282884895991,19.258032434492,20.2996199815954,21.4195121467692,23.1604436957832
"mu[16]",20.7922057399709,1.55577281190891,17.8622914192096,19.670978698412,20.7271505367929,21.916144412192,23.7964159018017
"mu[17]",21.2358561260562,1.53834548214865,18.374800647217,20.2228639181112,21.1879229853128,22.2787856781095,24.1875076918402
"mu[18]",21.7184245301292,1.46513376953085,18.8514082337045,20.6732220797797,21.7109949568237,22.7581094835477,24.478569074933
"mu[19]",22.1699977831695,1.35485685679479,19.6609573229136,21.158075270699,22.1940534926359,23.1212935743981,24.9279469818039
"mu[20]",22.6373945039043,1.13493207733931,20.4158980698842,21.8727218964442,22.6830234188416,23.4204217613528,24.8813953886614
"mu[21]",22.9289444167309,1.11812951465887,20.6766625446324,22.1708475316159,22.959906983349,23.662832721725,25.028243055531
"mu[22]",23.1935066316387,0.989240627636913,21.220097395894,22.5630968214857,23.1927179412206,23.8280142788097,25.124762535097
"mu[23]",23.4543024059552,0.782930329610836,21.9540630375726,22.9477600886093,23.4240635105186,23.9438493430074,25.0572014375079
"mu[24]",23.695818613684,0.0856465857681364,23.5366771402362,23.6372195204365,23.6956026152841,23.7570279426712,23.867423503841
"lp__",52.4398929957194,3.55343743388794,44.9492031722563,50.1484670859628,52.6738372484806,55.071080456483,58.4736799562953
