"","party","orgs","house_effect"
"d[1]","미래통합당","엠브레인퍼블릭",-1.99506427670059
"d[2]","미래통합당","입소스",0.292902575042931
"d[3]","미래통합당","리얼미터",1.53555284052578
"d[4]","미래통합당","조원씨앤아이",2.47421665074522
"d[5]","미래통합당","한국리서치",2.21232463801267
