"","date","party","approve_rate","approve_lower","approve_upper"
"1",2019-12-29,"더불어민주당",36.1613656486976,36.1454749983581,36.1773052060829
"2",2019-12-30,"더불어민주당",36.3336583524521,35.0265284235818,37.6387412433338
"3",2019-12-31,"더불어민주당",36.5198215492695,34.7910842139266,38.2430497647177
"4",2020-01-01,"더불어민주당",37.2700705155086,35.2179423700216,39.2389673422338
"5",2020-01-02,"더불어민주당",37.9539859797683,35.8270032983283,40.0508835637731
"6",2020-01-03,"더불어민주당",37.9465909141827,35.7268200117665,40.1673898564826
"7",2020-01-04,"더불어민주당",38.0326477783904,35.4773544598703,40.5811900411772
"8",2020-01-05,"더불어민주당",38.1202463745549,35.2779640722258,40.9527903170595
"9",2020-01-06,"더불어민주당",38.1762391785327,35.0752457179204,41.2757753709754
"10",2020-01-07,"더불어민주당",38.2330837926242,34.8867097340784,41.5719706296351
"11",2020-01-08,"더불어민주당",38.2836124155503,34.8640409823602,41.7363026989375
"12",2020-01-09,"더불어민주당",38.3710020228924,34.7965700223507,41.8379424742314
"13",2020-01-10,"더불어민주당",38.3876069301733,34.7270934290974,42.0785586939534
"14",2020-01-11,"더불어민주당",38.512776289087,34.784833374108,42.2824463364347
"15",2020-01-12,"더불어민주당",38.529057565141,34.7781336630241,42.3835517152389
"16",2020-01-13,"더불어민주당",38.6465389047081,34.8450077776073,42.4400316893953
"17",2020-01-14,"더불어민주당",38.7000661517438,34.8894964752557,42.5278265161991
"18",2020-01-15,"더불어민주당",38.7928916020658,34.9769059152734,42.5666737909223
"19",2020-01-16,"더불어민주당",38.8547314933588,35.2274795904994,42.4915454297493
"20",2020-01-17,"더불어민주당",38.9228309808116,35.3908194006658,42.4449290704992
"21",2020-01-18,"더불어민주당",39.0690830006484,35.6928127892496,42.4387901245709
"22",2020-01-19,"더불어민주당",39.1487073655588,35.8940133147348,42.3823294714355
"23",2020-01-20,"더불어민주당",39.2314426182117,36.3765025617027,42.1349986342476
"24",2020-01-21,"더불어민주당",39.3406800610144,36.7175329057306,41.9272473530414
"25",2020-01-22,"더불어민주당",39.4475817359515,37.21628321579,41.6796119677974
"26",2020-01-23,"더불어민주당",40.0672415554442,37.9978349897875,42.1420672071209
"27",2020-01-24,"더불어민주당",39.9981924897217,37.7093876100567,42.2857238823575
"28",2020-01-25,"더불어민주당",39.9700151031443,37.4522369724407,42.5443503154412
"29",2020-01-26,"더불어민주당",39.8984900614316,37.1535449038027,42.5935370263543
"30",2020-01-27,"더불어민주당",39.88542185935,37.172480023747,42.663631906584
"31",2020-01-28,"더불어민주당",39.7697442780416,36.9973004987827,42.5441145140034
"32",2020-01-29,"더불어민주당",39.6753655580465,37.0183936945487,42.3453280024131
"33",2020-01-30,"더불어민주당",39.5892824095825,37.0737582490696,42.1115852151663
"34",2020-01-31,"더불어민주당",39.0038071579063,36.3207002966776,41.729273383102
"35",2020-02-01,"더불어민주당",39.0335123933097,36.1330209127383,41.9786617483643
"36",2020-02-02,"더불어민주당",39.0310745900482,35.9320240636415,42.2277440483391
"37",2020-02-03,"더불어민주당",39.1080791413779,35.7656080977345,42.4550104239724
"38",2020-02-04,"더불어민주당",39.0773772034329,35.617510319023,42.5137896340269
"39",2020-02-05,"더불어민주당",39.1267682785433,35.5138943377865,42.6772972109943
"40",2020-02-06,"더불어민주당",39.1226971684681,35.4543888884715,42.7859098678658
"41",2020-02-07,"더불어민주당",39.1447643742284,35.4469849536029,42.7931538689044
"42",2020-02-08,"더불어민주당",39.156562138233,35.3956203213088,42.9501526850022
"43",2020-02-09,"더불어민주당",39.2189490759432,35.4310555549074,43.0004697913663
"44",2020-02-10,"더불어민주당",39.2342647374045,35.5748191402258,42.947886180406
"45",2020-02-11,"더불어민주당",39.2789282104581,35.5629887946941,43.0251290838782
"46",2020-02-12,"더불어민주당",39.2899750637385,35.6278232139612,42.9510655781064
"47",2020-02-13,"더불어민주당",39.2630349009997,35.6231108244013,42.8830671344023
"48",2020-02-14,"더불어민주당",39.3318512916253,35.789573289149,42.8623204060401
"49",2020-02-15,"더불어민주당",39.3451001010605,35.9924901295687,42.7348686779339
"50",2020-02-16,"더불어민주당",39.418375004818,36.1259157043825,42.6301527881119
"51",2020-02-17,"더불어민주당",39.4081979297651,36.3595568884422,42.5010326369385
"52",2020-02-18,"더불어민주당",39.4137619207241,36.6586470549812,42.1293237130896
"53",2020-02-19,"더불어민주당",39.4185412596783,36.9113647370165,41.9783223956484
"54",2020-02-20,"더불어민주당",39.7010053534027,37.1865697128336,42.1912512681344
"55",2020-02-21,"더불어민주당",39.9791955401933,37.5604905963194,42.4088443898217
"56",2020-02-22,"더불어민주당",40.2783498017216,38.076973677034,42.4557347151748
"57",2020-02-23,"더불어민주당",40.5352567425759,38.6652622153938,42.4097158989063
"58",2020-02-24,"더불어민주당",40.3067480543589,38.0988710851986,42.5342339095919
"59",2020-02-25,"더불어민주당",40.109687736792,37.8586835781433,42.384380916296
"60",2020-02-26,"더불어민주당",39.8642519183908,37.5674234577506,42.2038380833698
"61",2020-02-27,"더불어민주당",39.6388586826688,37.4322658954366,41.8164621034716
"62",2020-02-28,"더불어민주당",39.9360777031077,37.7684438067125,42.1120741401467
"63",2020-02-29,"더불어민주당",40.2002653907538,38.1267557315676,42.2756121071321
"64",2020-03-01,"더불어민주당",40.1128493696091,37.9514754761462,42.2487714184365
"65",2020-03-02,"더불어민주당",40.1828585453311,37.9024782259637,42.4419910372927
"66",2020-03-03,"더불어민주당",40.2027909759793,37.9715096827699,42.4639564528994
"67",2020-03-04,"더불어민주당",40.2211019814359,38.1593403961184,42.285106025549
"68",2020-03-05,"더불어민주당",40.4557376712437,38.3186209680295,42.6076423286027
"69",2020-03-06,"더불어민주당",40.6425130630594,38.5787673714954,42.6674747415575
"70",2020-03-07,"더불어민주당",40.7027107695831,38.7434360250446,42.6990704056532
"71",2020-03-08,"더불어민주당",41.1357778177017,39.1376341865926,43.1583391208306
"72",2020-03-09,"더불어민주당",41.4842718761018,39.2180762188384,43.7855063502131
"73",2020-03-10,"더불어민주당",41.8630320037435,39.4131943268032,44.2598228963441
"74",2020-03-11,"더불어민주당",42.2526639400694,39.9369406048146,44.5720352923162
"75",2020-03-12,"더불어민주당",42.6087507504493,40.3258186899033,44.8995531376249
"76",2020-03-13,"더불어민주당",43.0110526561393,40.974965436848,45.0313432039734
"77",2020-03-14,"더불어민주당",43.3648904396481,41.6577407042818,45.0332735675831
"78",2020-03-15,"더불어민주당",44.0648386929899,42.7295576710489,45.3926974640398
"79",2020-03-16,"더불어민주당",44.7865040052254,44.7710970780728,44.8022644438303
"80",2020-01-21,"미래통합당",29.6689484163353,29.6520228837295,29.6859699836553
"81",2020-01-22,"미래통합당",29.7081631832536,28.2238076700054,31.2105804418932
"82",2020-01-23,"미래통합당",29.7872401229327,27.6994940233755,31.8098974403944
"83",2020-01-24,"미래통합당",29.8366029885945,27.3424405377379,32.3819525485776
"84",2020-01-25,"미래통합당",29.945687623429,27.0246527790896,32.893265795364
"85",2020-01-26,"미래통합당",30.0270721882088,26.8484710116215,33.255812698429
"86",2020-01-27,"미래통합당",30.0890454366341,26.6162576935914,33.55437274427
"87",2020-01-28,"미래통합당",30.1454356855443,26.4265860353827,33.8596747043353
"88",2020-01-29,"미래통합당",30.1335426823009,26.4210617181864,33.9161268228619
"89",2020-01-30,"미래통합당",30.2117731277097,26.2970761559364,34.0297446459378
"90",2020-01-31,"미래통합당",30.3667734183184,26.3973632289389,34.3203817158875
"91",2020-02-01,"미래통합당",30.4523357086618,26.3627408219915,34.5436299490432
"92",2020-02-02,"미래통합당",30.4270870697816,26.2123037358712,34.6335740484332
"93",2020-02-03,"미래통합당",30.5794734521398,26.3883086341651,34.7413368460466
"94",2020-02-04,"미래통합당",30.5843785258659,26.4470132819694,34.8713522974867
"95",2020-02-05,"미래통합당",30.6954572000361,26.4479048273489,35.0342059706133
"96",2020-02-06,"미래통합당",30.7349142081435,26.4394084847587,35.149597568419
"97",2020-02-07,"미래통합당",30.8663660306024,26.5117838423365,35.1978155795705
"98",2020-02-08,"미래통합당",30.8608078921086,26.6128601620404,35.1897682135991
"99",2020-02-09,"미래통합당",30.9586705177268,26.8212080435682,35.118655802597
"100",2020-02-10,"미래통합당",31.0084444190226,26.972632580145,35.0252058362339
"101",2020-02-11,"미래통합당",31.0828893853022,27.0640947087014,35.0657582650489
"102",2020-02-12,"미래통합당",31.1282713953161,27.296447541236,35.0652102315543
"103",2020-02-13,"미래통합당",31.1734805379777,27.504615679033,34.8171042632201
"104",2020-02-14,"미래통합당",31.2332334633122,27.5648893274927,34.9045785148597
"105",2020-02-15,"미래통합당",31.3312898381812,27.7787908317373,34.879130756741
"106",2020-02-16,"미래통합당",31.3474439322352,28.1260742175238,34.5707365531952
"107",2020-02-17,"미래통합당",31.4469787896528,28.4257050599203,34.5053820791451
"108",2020-02-18,"미래통합당",31.3511159617043,28.3643383004487,34.3019425875768
"109",2020-02-19,"미래통합당",31.238685968114,28.3588246899155,34.1020533702017
"110",2020-02-20,"미래통합당",31.1199270656679,28.5329013282183,33.7072523182194
"111",2020-02-21,"미래통합당",31.0630609952655,28.7964757069259,33.3759433755066
"112",2020-02-22,"미래통합당",31.0728226667453,28.4943006441221,33.63119799973
"113",2020-02-23,"미래통합당",31.1213391404888,28.5135757982604,33.6895285500535
"114",2020-02-24,"미래통합당",31.2055761968835,28.6417284554552,33.7380618290783
"115",2020-02-25,"미래통합당",31.2515074257352,28.8171194148594,33.630519796359
"116",2020-02-26,"미래통합당",31.8922436766286,29.4348176114812,34.3512440509742
"117",2020-02-27,"미래통합당",32.456130401584,29.7752689029388,35.154352137321
"118",2020-02-28,"미래통합당",32.4578499721005,29.92905264768,34.9722094933803
"119",2020-02-29,"미래통합당",32.1457143447648,29.5885104619684,34.6781429743731
"120",2020-03-01,"미래통합당",31.8744564654205,29.2902348935937,34.4321428415821
"121",2020-03-02,"미래통합당",31.5571366671043,29.3052738883459,33.8245623191852
"122",2020-03-03,"미래통합당",31.3672283514622,29.076656592071,33.6567619124958
"123",2020-03-04,"미래통합당",31.2195392232032,29.1645564659735,33.2525243622111
"124",2020-03-05,"미래통합당",31.5024892924967,29.6523712587579,33.4118024571145
"125",2020-03-06,"미래통합당",32.1861274203155,29.8730058008273,34.532049315289
"126",2020-03-07,"미래통합당",32.5329711509233,29.8406274360462,35.1513079096624
"127",2020-03-08,"미래통합당",32.8625792357033,29.9666450189883,35.7261852544568
"128",2020-03-09,"미래통합당",33.2305881177783,30.1954526042138,36.2868746058213
"129",2020-03-10,"미래통합당",33.6044012664174,30.4420482474648,36.7349847729234
"130",2020-03-11,"미래통합당",33.9027184318348,30.8452050370757,36.9615343482124
"131",2020-03-12,"미래통합당",34.2564643144504,31.2703741989289,37.2403489228386
"132",2020-03-13,"미래통합당",33.4389911738796,31.0055758573599,35.8436484832944
"133",2020-03-14,"미래통합당",32.6991200910627,30.9774143268609,34.4492811690571
"134",2020-02-21,"민생당",1.70680684466979,1.69117416745912,1.72230138960173
"135",2020-02-22,"민생당",1.72541249834705,0.886705296671147,2.54302580368243
"136",2020-02-23,"민생당",1.72658048290887,0.754406386781828,2.70101964671781
"137",2020-02-24,"민생당",1.85178415795432,0.543910617369058,3.14790945199417
"138",2020-02-25,"민생당",1.98049533342999,0.568417529382007,3.39227991000392
"139",2020-02-26,"민생당",2.11776333907739,0.590042144903856,3.62063458012166
"140",2020-02-27,"민생당",2.22861081374305,0.713955290091611,3.71955715108906
"141",2020-02-28,"민생당",2.3241086847238,0.995026907299359,3.66175326704788
"142",2020-02-29,"민생당",2.40353451988702,1.33835474625608,3.47599756570867
"143",2020-03-01,"민생당",2.63118429537166,1.53908825835232,3.71881760031717
"144",2020-03-02,"민생당",2.72460527260226,1.41694549251174,4.0120525013429
"145",2020-03-03,"민생당",2.82908725223588,1.50139697134764,4.1473339580482
"146",2020-03-04,"민생당",2.93573666249585,1.80248172925326,4.06398616225782
"147",2020-03-05,"민생당",2.80215776077097,1.64042427344061,3.97936826654267
"148",2020-03-06,"민생당",2.68020586501594,1.68881658324294,3.65324510117942
"149",2020-03-07,"민생당",2.41714340366413,1.61516523874289,3.24401381654397
"150",2020-03-08,"민생당",1.44820938491646,0.922155161857474,1.97938503043578
"151",2020-03-09,"민생당",1.41406458141257,0.499876344483957,2.33619301989277
"152",2020-03-10,"민생당",1.32547908281966,0.281390817384012,2.38098011620763
"153",2020-03-11,"민생당",1.2329830473537,0.157233234455227,2.30899802263378
"154",2020-03-12,"민생당",1.12570851864298,0.0521864827877405,2.17981497752162
"155",2020-03-13,"민생당",0.936083667925263,0.0320757567596672,1.83785311775634
"156",2020-03-14,"민생당",0.618709053064683,-0.0168227855539605,1.24806584322666
"157",2020-03-15,"민생당",1.04844206478449,0.318063621530504,1.78083280056962
"158",2020-03-16,"민생당",1.42204691576791,1.40534414135922,1.43880494772344
"159",2019-12-29,"정의당",19.7497869528922,19.7335024398214,19.7662899473425
"160",2019-12-30,"정의당",19.3553806812734,17.5662647345716,21.0963632390548
"161",2019-12-31,"정의당",19.0040783763006,16.7476078279105,21.2216210507179
"162",2020-01-01,"정의당",19.0342820744739,16.5245618826432,21.5534575765291
"163",2020-01-02,"정의당",19.011593785624,16.6079797373001,21.4422442070982
"164",2020-01-03,"정의당",18.9308210407409,16.5878341383705,21.2567275501084
"165",2020-01-04,"정의당",18.9790721155643,16.0209677679039,21.9138854241284
"166",2020-01-05,"정의당",18.9832507265015,15.54666201517,22.390136548972
"167",2020-01-06,"정의당",18.9546798434462,15.2654880377909,22.6763927618903
"168",2020-01-07,"정의당",19.0270607463214,15.1217306022873,23.046500059695
"169",2020-01-08,"정의당",19.0022921701798,14.8399862844207,23.1941326917458
"170",2020-01-09,"정의당",19.0451073298154,14.7131065367797,23.3420433669256
"171",2020-01-10,"정의당",19.051927033581,14.6572850916263,23.4331482092606
"172",2020-01-11,"정의당",19.0914746575652,14.5495090305843,23.5764079389343
"173",2020-01-12,"정의당",19.1091283255662,14.6146471641397,23.6290617348559
"174",2020-01-13,"정의당",19.1414627036626,14.5293544993389,23.7947768754521
"175",2020-01-14,"정의당",19.1509006613197,14.7019587819323,23.7114901548158
"176",2020-01-15,"정의당",19.1555596581201,14.7673270137124,23.5519003661737
"177",2020-01-16,"정의당",19.2132618386207,14.9739687572308,23.4441480915212
"178",2020-01-17,"정의당",19.2391202071556,15.2429116470724,23.2769996226529
"179",2020-01-18,"정의당",19.3083426237154,15.5203063421045,23.1714739107947
"180",2020-01-19,"정의당",19.3343601078374,15.7925589202244,22.851722311915
"181",2020-01-20,"정의당",19.3474178857941,16.0874515281475,22.5736657460947
"182",2020-01-21,"정의당",19.3859463811211,16.6233139222133,22.1540147140682
"183",2020-01-22,"정의당",19.4377075487425,17.3879185375352,21.512818786113
"184",2020-01-23,"정의당",17.340868299239,15.6368674862187,19.0367923772319
"185",2020-01-24,"정의당",17.4180162836207,14.9515465519829,19.8507023170753
"186",2020-01-25,"정의당",17.4800532800285,14.6879232292521,20.3383065818039
"187",2020-01-26,"정의당",17.5119404942423,14.5495564900569,20.5114041729016
"188",2020-01-27,"정의당",17.5620816309919,14.4440573299676,20.7211642519478
"189",2020-01-28,"정의당",17.5296007365191,14.433288151117,20.672348788729
"190",2020-01-29,"정의당",17.6358433850473,14.623821699229,20.6131604739793
"191",2020-01-30,"정의당",17.6561543448137,15.0500203962974,20.3060653322551
"192",2020-01-31,"정의당",17.3868892786277,14.7482995764843,20.0137694504627
"193",2020-02-01,"정의당",17.320043876795,14.202982409106,20.4187054076552
"194",2020-02-02,"정의당",17.296168268727,13.7277817890131,20.813237964043
"195",2020-02-03,"정의당",17.1493889346342,13.3504745024195,20.9161995617554
"196",2020-02-04,"정의당",17.0346810319949,12.9390144726004,21.1914439620635
"197",2020-02-05,"정의당",16.9518474638024,12.7023852293851,21.1588813521672
"198",2020-02-06,"정의당",16.8715131902204,12.4849961555925,21.2787863415749
"199",2020-02-07,"정의당",16.7064896875699,12.3900578443466,21.0457113613569
"200",2020-02-08,"정의당",16.6373995223741,12.2295724661475,21.0559249535968
"201",2020-02-09,"정의당",16.5310087467063,12.1256667896553,21.0005201788111
"202",2020-02-10,"정의당",16.4573859499318,12.0167788844716,20.8955590682927
"203",2020-02-11,"정의당",16.3885202146952,11.9183137903807,20.8992532743039
"204",2020-02-12,"정의당",16.3920663719059,12.0482847412062,20.728222622413
"205",2020-02-13,"정의당",16.3203800117529,12.0691742691515,20.6360156212706
"206",2020-02-14,"정의당",16.1567728871928,11.9905666044836,20.2333694200071
"207",2020-02-15,"정의당",16.0387872800206,12.1216259356059,19.9655572073705
"208",2020-02-16,"정의당",15.9837512437794,12.3035297688702,19.5890806087524
"209",2020-02-17,"정의당",15.8518641626612,12.5480877516605,19.1565374707486
"210",2020-02-18,"정의당",15.7570458453033,12.7966308234938,18.7286424856856
"211",2020-02-19,"정의당",15.6623718779868,13.2782036976439,18.0447189369581
"212",2020-02-20,"정의당",15.8703156915449,13.1984012259379,18.4775810540819
"213",2020-02-21,"정의당",16.0445677012871,13.512506764486,18.5367162420629
"214",2020-02-22,"정의당",16.2365204954882,13.9876958991965,18.5547442647419
"215",2020-02-23,"정의당",16.4505527859664,14.8622883655354,18.0203319272928
"216",2020-02-24,"정의당",17.3606856190849,15.2159426284864,19.5278601670804
"217",2020-02-25,"정의당",18.2657926154548,15.8110476837261,20.6695473854862
"218",2020-02-26,"정의당",19.1157025015937,16.6887473835251,21.5430974707009
"219",2020-02-27,"정의당",20.0142508001767,17.8010056797752,22.2004370124922
"220",2020-02-28,"정의당",18.9517551055459,16.7948899210919,21.0294795139759
"221",2020-02-29,"정의당",17.8968169714685,15.9852306244756,19.8081574760574
"222",2020-03-01,"정의당",18.6457680705048,16.7559961496574,20.5100383310719
"223",2020-03-02,"정의당",18.2199835051509,15.9176520632457,20.5261816014745
"224",2020-03-03,"정의당",17.7663463913244,15.5126447046579,20.0279122818872
"225",2020-03-04,"정의당",17.3189267641117,15.4581411084396,19.1593747905677
"226",2020-03-05,"정의당",17.8036788398671,15.7143042298886,19.9006022953838
"227",2020-03-06,"정의당",18.3365080444438,16.5435478488239,20.143271261569
"228",2020-03-07,"정의당",18.3070646257885,16.6377210463456,19.963205847729
"229",2020-03-08,"정의당",18.718562744051,16.9110715234923,20.5522482710989
"230",2020-03-09,"정의당",18.3922636367572,15.9186958255861,20.88865827958
"231",2020-03-10,"정의당",18.1111848243407,15.3771471858053,20.8245773257237
"232",2020-03-11,"정의당",17.8114513702156,14.9611908756164,20.6367976525115
"233",2020-03-12,"정의당",17.5444881994645,14.8010065147056,20.2832605363403
"234",2020-03-13,"정의당",17.2111809759001,14.796223142026,19.6460087019972
"235",2020-03-14,"정의당",16.9161461872682,15.1415046977034,18.7120973020705
"236",2020-03-15,"정의당",15.7324227806949,14.1021173959405,17.3658589776337
"237",2020-03-16,"정의당",14.5731490483014,14.5562610536593,14.5899268898779
"238",2020-02-21,"국민의당",5.93602552354802,5.91939119074268,5.95260564632741
"239",2020-02-22,"국민의당",7.10622982865134,5.85520323351783,8.36732727258201
"240",2020-02-23,"국민의당",8.24232798027429,7.05061433748601,9.4419728120027
"241",2020-02-24,"국민의당",8.21965693240568,6.47293728897621,9.98917164679605
"242",2020-02-25,"국민의당",8.14010766357072,6.24140198013172,10.0414849089142
"243",2020-02-26,"국민의당",8.1392078573839,6.38370460801177,9.87601297733597
"244",2020-02-27,"국민의당",8.1074168019861,6.89625103539082,9.32864345462169
"245",2020-02-28,"국민의당",7.61434046907856,6.0579027476358,9.20770187958958
"246",2020-02-29,"국민의당",7.14099679141625,5.81824639567192,8.45592999832584
"247",2020-03-01,"국민의당",6.35251870750539,4.9554059870904,7.73494689864571
"248",2020-03-02,"국민의당",6.50217584039104,4.6912805028198,8.31793423305765
"249",2020-03-03,"국민의당",6.67723436527625,4.9132669499916,8.4541679284475
"250",2020-03-04,"국민의당",6.85703780994944,5.52370958257023,8.16608967329274
"251",2020-03-05,"국민의당",7.65844755910099,5.96073296304082,9.37721426374785
"252",2020-03-06,"국민의당",8.45507705813032,6.94386512847347,9.97919397039849
"253",2020-03-07,"국민의당",8.92389113600045,7.53941540598637,10.261909412587
"254",2020-03-08,"국민의당",8.69284314784054,7.51059966516525,9.85881393855164
"255",2020-03-09,"국민의당",8.52499028742425,6.71783183946414,10.334419847081
"256",2020-03-10,"국민의당",8.27695552206241,6.18086302646872,10.3554916721652
"257",2020-03-11,"국민의당",8.0853976073269,5.91187635122421,10.2327826521045
"258",2020-03-12,"국민의당",7.90977906758004,5.85117274403978,9.97201550552682
"259",2020-03-13,"국민의당",7.69689226053731,5.90369956831568,9.50479747000762
"260",2020-03-14,"국민의당",7.49950387925373,6.1185441901799,8.88668744054852
"261",2020-03-15,"국민의당",7.51090560384177,6.22259912924196,8.7829122079819
"262",2020-03-16,"국민의당",7.46393550880009,7.44804931039417,7.47992220858192
"263",2019-12-29,"자유공화당",1.25140283666966,1.23488850711139,1.26791994825173
"264",2019-12-30,"자유공화당",1.24589178916337,1.02731238957111,1.46494044834719
"265",2019-12-31,"자유공화당",1.24771675118236,0.936174982225583,1.55339322959067
"266",2020-01-01,"자유공화당",1.24189188206853,0.871895884344552,1.61714351098132
"267",2020-01-02,"자유공화당",1.24833461666587,0.819815293559346,1.67914200681276
"268",2020-01-03,"자유공화당",1.24622040401997,0.791842541048983,1.6922804288068
"269",2020-01-04,"자유공화당",1.24237837342138,0.757606334344245,1.73310854176641
"270",2020-01-05,"자유공화당",1.24152942622001,0.729911737498057,1.73933712924688
"271",2020-01-06,"자유공화당",1.23489434411117,0.733948227858009,1.72701944878502
"272",2020-01-07,"자유공화당",1.22562167277342,0.701115044531756,1.73977563809079
"273",2020-01-08,"자유공화당",1.23356940468405,0.690879666950826,1.76819305233906
"274",2020-01-09,"자유공화당",1.23145553679732,0.670741211667343,1.79316873225242
"275",2020-01-10,"자유공화당",1.22601074549292,0.654199787513137,1.79422224926137
"276",2020-01-11,"자유공화당",1.22848263309554,0.635027115419365,1.83189154734243
"277",2020-01-12,"자유공화당",1.22121612835697,0.592065964386219,1.84707667946289
"278",2020-01-13,"자유공화당",1.22591471706251,0.594334614954545,1.85266713170107
"279",2020-01-14,"자유공화당",1.22544623695675,0.583518224329901,1.8674196485548
"280",2020-01-15,"자유공화당",1.22362405613284,0.594654751429125,1.85319564787502
"281",2020-01-16,"자유공화당",1.22213796597544,0.619002838089556,1.83093957342403
"282",2020-01-17,"자유공화당",1.23027874972933,0.648490330312462,1.81861787820637
"283",2020-01-18,"자유공화당",1.23446118353208,0.659641736752056,1.81833237202679
"284",2020-01-19,"자유공화당",1.23549850683446,0.666654412978205,1.79510132134858
"285",2020-01-20,"자유공화당",1.23640017832925,0.686015939651994,1.77893177309291
"286",2020-01-21,"자유공화당",1.23734346972222,0.693625756078822,1.77976770120203
"287",2020-01-22,"자유공화당",1.23078830326648,0.730121716231992,1.72972582518476
"288",2020-01-23,"자유공화당",1.23922895734393,0.73690389321083,1.73374179726281
