"","date","region","party","mean_rate","lower_rate","upper_rate","mu","sd","win_prob"
"6739",2016-03-28,"서울광진구을","국민의당",11.6952803504404,7.62723080242477,16.0205012255973,11.6817237005941,1.05648539197819,0
"6740",2016-03-29,"서울광진구을","국민의당",11.6056596702186,7.01534214179029,16.0125635502985,11.588010704436,1.18423735672547,0
"6741",2016-03-30,"서울광진구을","국민의당",11.5109403095667,6.29126956041845,16.9943374783308,11.521479575523,1.26274498252616,0
"6742",2016-03-31,"서울광진구을","국민의당",11.3843459006117,6.87874796219126,15.6831005089937,11.3971115509882,1.1707596079753,0
"6743",2016-04-01,"서울광진구을","국민의당",11.3050777100995,7.44948301447026,14.9956179963471,11.3075520904348,1.01791757995877,0
"6744",2016-04-02,"서울광진구을","국민의당",11.2602886064476,6.50903210548976,15.4180617363946,11.2614915547087,1.09365953666833,0
"6745",2016-04-03,"서울광진구을","국민의당",11.2913189044449,6.06105706235802,15.7201681778701,11.2822508713446,1.15668257869979,0
"6746",2016-04-04,"서울광진구을","국민의당",11.2722568662452,6.37223547305201,15.6792678703172,11.2641056020862,1.14252182738304,0
"6747",2016-04-05,"서울광진구을","국민의당",11.1948188146686,7.43715892186248,15.0090145922632,11.1978933441553,1.01499273706221,0
"6748",2016-04-06,"서울광진구을","국민의당",11.1542386074114,8.28678099863328,13.8818517853742,11.1659985242975,0.773930728708086,0
"6749",2016-03-10,"서울성북구을","새누리당",47.476918924363,47.0995534011559,47.8797321788468,47.4768413182181,0.0934847635449554,1
"6750",2016-03-11,"서울성북구을","새누리당",47.4928765112913,44.1864427078664,50.6280181387524,47.5035866336711,0.868366727973399,1
"6751",2016-03-12,"서울성북구을","새누리당",47.5255661132656,43.0092874874055,51.9169104210002,47.5220995753954,1.16243489924365,1
"6752",2016-03-13,"서울성북구을","새누리당",47.4986226293743,42.4333873154404,52.1941091907978,47.4900398514315,1.33191345815258,1
"6753",2016-03-14,"서울성북구을","새누리당",47.5087162101211,41.5976681799217,53.0048927766856,47.5154573764263,1.47086096422001,1
"6754",2016-03-15,"서울성북구을","새누리당",47.5598266705823,42.0977989244524,53.4186832484032,47.5404783654308,1.54242698665003,1
"6755",2016-03-16,"서울성북구을","새누리당",47.5343300807813,41.9020483583042,53.607027471486,47.5373323035829,1.65139045086405,1
"6756",2016-03-17,"서울성북구을","새누리당",47.5766318388218,41.2786568478146,55.5973668463872,47.5353094988336,1.7129248438005,1
"6757",2016-03-18,"서울성북구을","새누리당",47.4715455457882,40.983468170307,54.070916277913,47.5030961518244,1.75299488912495,1
"6758",2016-03-19,"서울성북구을","새누리당",47.4526597238416,40.9375675705541,54.3541041432164,47.4626793011494,1.76417708248067,1
"6759",2016-03-20,"서울성북구을","새누리당",47.4979024360879,41.5081026231668,53.6529535312259,47.4866892739046,1.71002278010621,1
"6760",2016-03-21,"서울성북구을","새누리당",47.5454529817255,40.4471578969355,53.5608335272423,47.5161947212373,1.60435183484354,1
"6761",2016-03-22,"서울성북구을","새누리당",47.5377942972916,40.8198281389371,54.0168540230193,47.5277814373124,1.68612743909421,1
"6762",2016-03-23,"서울성북구을","새누리당",47.5657685029149,41.5830605865977,53.6884821310277,47.5854665548544,1.72673199756385,1
"6763",2016-03-24,"서울성북구을","새누리당",47.5720387430681,41.2006818593126,53.4910586360721,47.5693153081868,1.75742695368836,1
"6764",2016-03-25,"서울성북구을","새누리당",47.5515749064111,41.094911255125,54.2862383521308,47.5281059761877,1.77664920878245,1
"6765",2016-03-26,"서울성북구을","새누리당",47.5099159744252,40.7932883885931,54.0011899572087,47.5187263119356,1.74633872910647,1
"6766",2016-03-27,"서울성북구을","새누리당",47.5145919196969,40.6085179941848,54.1204960273845,47.5190733347506,1.73780456468569,1
"6767",2016-03-28,"서울성북구을","새누리당",47.487141928799,41.1105142232441,54.4457125791661,47.483448566529,1.76461332127018,1
"6768",2016-03-29,"서울성북구을","새누리당",47.4221524484307,41.0052359328604,54.1076385458223,47.4215407421446,1.65906435102665,1
"6769",2016-03-30,"서울성북구을","새누리당",47.4776732006217,40.6544055953287,53.0639373817426,47.4683958785663,1.60879568627533,1
"6770",2016-03-31,"서울성북구을","새누리당",47.4808374475479,40.9620490550406,53.9132269310377,47.4804646557365,1.54225425542028,1
"6771",2016-04-01,"서울성북구을","새누리당",47.4344179044134,42.2484979406853,53.2905749055651,47.4491913093948,1.36660450464,1
"6772",2016-04-02,"서울성북구을","새누리당",47.4318868838012,42.4372823879171,52.3939724610989,47.4502958116708,1.40607337092292,1
"6773",2016-04-03,"서울성북구을","새누리당",47.4034944358487,42.5048871426713,52.880962707996,47.4268852791453,1.35692085764084,1
"6774",2016-04-04,"서울성북구을","새누리당",47.4300101741339,42.7475117216488,52.0865600155354,47.4153362600998,1.27249055157484,1
"6775",2016-04-05,"서울성북구을","새누리당",47.4423595595079,43.3630170038667,51.8512051400363,47.4463100799771,1.12042527520696,1
"6776",2016-04-06,"서울성북구을","새누리당",47.4817240621748,44.3979649797344,50.7704134299448,47.4807698687584,0.8339169285473,1
"6777",2016-03-10,"서울성북구을","민주당",34.8648301595199,34.5017276001079,35.2386925915734,34.8652431575264,0.0941730496598411,0
"6778",2016-03-11,"서울성북구을","민주당",34.7633784513927,31.7815357242711,37.918132875105,34.7675567873437,0.855615505264745,0
"6779",2016-03-12,"서울성북구을","민주당",34.6632660917417,30.4255327143144,39.5496642049479,34.6694369893418,1.16251001080894,0
"6780",2016-03-13,"서울성북구을","민주당",34.5578787554238,29.3071805604244,40.0638272487327,34.5560011378689,1.38351017611645,0
"6781",2016-03-14,"서울성북구을","민주당",34.4609329769383,27.9064550632379,40.7995624643497,34.4343013889956,1.53584615351437,0
"6782",2016-03-15,"서울성북구을","민주당",34.3728092655232,28.6374468029219,40.4988334870871,34.3662610239642,1.6369568194081,0
"6783",2016-03-16,"서울성북구을","민주당",34.1738366845384,27.2947190650853,42.0976719363491,34.1853954485655,1.70623142984069,0
"6784",2016-03-17,"서울성북구을","민주당",34.0239835648116,28.0031733904073,39.8725193501217,34.0441109835691,1.69221144859346,0
"6785",2016-03-18,"서울성북구을","민주당",33.968316373773,26.8242901186235,40.6117341392302,33.9480415910543,1.67968753231692,0
"6786",2016-03-19,"서울성북구을","민주당",33.7770926501305,27.535360566878,40.1352288096875,33.8044714966861,1.62425505667064,0
"6787",2016-03-20,"서울성북구을","민주당",33.6962465659507,28.0890981147138,40.1111106035699,33.6929302966358,1.55441658184806,0
"6788",2016-03-21,"서울성북구을","민주당",33.5460429379072,28.4209728361119,39.2769149851188,33.5556260684938,1.45715961759802,0
"6789",2016-03-22,"서울성북구을","민주당",33.2023955337679,27.3688714591765,39.9510827477161,33.2176582311085,1.57261795526867,0
"6790",2016-03-23,"서울성북구을","민주당",32.8838244175044,26.9842414566079,39.2020092543111,32.881141171822,1.69073803615319,0
"6791",2016-03-24,"서울성북구을","민주당",32.5605635367969,26.2756555274555,39.1692333781006,32.5294349234899,1.70095616774188,0
"6792",2016-03-25,"서울성북구을","민주당",32.1694373750769,25.6091700220078,39.4821653804153,32.178022312739,1.6987896155852,0
"6793",2016-03-26,"서울성북구을","민주당",31.8006127136322,25.20670393037,38.5114089999409,31.8163189036795,1.69091565679069,0
"6794",2016-03-27,"서울성북구을","민주당",31.4743786058417,24.6526222031739,38.3830913866163,31.462148991742,1.65802044112347,0
"6795",2016-03-28,"서울성북구을","민주당",31.0603746152819,24.5232376222574,36.7550818639251,31.0689815374861,1.60334433570622,0
"6796",2016-03-29,"서울성북구을","민주당",30.6889268320299,25.0217144651274,35.9680193138883,30.6934421251728,1.55790282124029,0
"6797",2016-03-30,"서울성북구을","민주당",30.292260795015,24.196906312144,36.0849986245323,30.302947200939,1.49908806899653,0
"6798",2016-03-31,"서울성북구을","민주당",29.9375285840408,25.1066172494269,35.8323195526687,29.9240400575614,1.42827032743883,0
"6799",2016-04-01,"서울성북구을","민주당",29.5305419583029,24.6178484917205,34.557028186828,29.5219865777832,1.25421772869719,0
"6800",2016-04-02,"서울성북구을","민주당",29.3563798873225,24.4639990666917,34.1333063972871,29.3527804059225,1.27803775741351,0
"6801",2016-04-03,"서울성북구을","민주당",29.1116029228693,24.4586395969868,34.2555263478771,29.126370132076,1.28528622215972,0
"6802",2016-04-04,"서울성북구을","민주당",28.9582244177992,24.1732441239189,33.5574809793476,28.9458762407696,1.17014745030609,0
"6803",2016-04-05,"서울성북구을","민주당",28.7654901255079,24.3283842683645,32.5423942827784,28.7622350526755,1.08473782307825,0
"6804",2016-04-06,"서울성북구을","민주당",28.5413265401824,25.3655560019296,31.5589558017409,28.5338220856317,0.82772857480792,0
"6805",2016-03-10,"서울성북구을","국민의당",11.872588299081,11.517105158776,12.2154177993839,11.8739417775322,0.0944370720824887,0
