"","date","region","party","mean_rate","lower_rate","upper_rate","mu","sd","win_prob"
"1865",2016-03-26,"전북남원시임실군순창군","국민의당",33.3868502159481,31.09805112151,35.6352908417658,33.3725311313885,0.632482865028866,1
"1866",2016-03-27,"전북남원시임실군순창군","국민의당",33.6022620656787,31.0036402449564,36.1360579343368,33.5988641837527,0.618600516886224,1
"1867",2016-03-28,"전북남원시임실군순창군","국민의당",33.8846659489462,31.5040628054619,36.2534119000066,33.8805137635858,0.613580675628479,1
"1868",2016-03-29,"전북남원시임실군순창군","국민의당",34.1646227944564,31.4997422807905,36.8088483201591,34.1678922352087,0.607121520648282,1
"1869",2016-03-30,"전북남원시임실군순창군","국민의당",34.4388132092979,32.0780654723554,36.6926666308852,34.4448589600081,0.588146387637198,1
"1870",2016-03-31,"전북남원시임실군순창군","국민의당",34.7111622923366,32.750830546183,36.8345039143882,34.7095645109842,0.553090871076037,1
"1871",2016-04-01,"전북남원시임실군순창군","국민의당",34.8944721105542,32.5972429357818,36.9823065292761,34.8924475440742,0.529309509609774,1
"1872",2016-04-02,"전북남원시임실군순창군","국민의당",35.0738515808332,33.4152834294486,36.9232890193751,35.0692673674991,0.481721968195443,1
"1873",2016-04-03,"전북남원시임실군순창군","국민의당",35.2115116729614,33.4404978173743,36.9945866411397,35.2095100663139,0.438678984691002,1
"1874",2016-04-04,"전북남원시임실군순창군","국민의당",35.3650550106709,33.8304798105659,36.8205296042434,35.3585132472701,0.401404758314132,1
"1875",2016-04-05,"전북남원시임실군순창군","국민의당",35.5049426714224,34.1113714064661,36.8409141626701,35.501905713687,0.344444321828369,1
"1876",2016-04-06,"전북남원시임실군순창군","국민의당",35.6458557099664,34.4817798178991,36.7540435714414,35.6457831810636,0.259325865048812,1
"1877",2016-03-10,"전북남원시임실군순창군","무소속3",1.50021359400474,1.46290339067563,1.53601071909612,1.50013827576235,0.0101253340271544,0
"1878",2016-03-11,"전북남원시임실군순창군","무소속3",1.48686439689757,0.420952524902066,2.36169385012883,1.49036012076071,0.251194577268323,0
"1879",2016-03-12,"전북남원시임실군순창군","무소속3",1.4712602000971,0.19089372518694,2.81717069081446,1.47144036414777,0.332680658500951,0
"1880",2016-03-13,"전북남원시임실군순창군","무소속3",1.46774957908696,-0.0809824293641781,2.98545413363433,1.46911782349049,0.395087086759119,0
"1881",2016-03-14,"전북남원시임실군순창군","무소속3",1.45521098547333,-0.270771837689665,3.03314471319759,1.45729994667447,0.418241925612018,0
"1882",2016-03-15,"전북남원시임실군순창군","무소속3",1.44793447478281,-0.386480791578313,3.25973094319945,1.45279084396692,0.457652666247589,0
"1883",2016-03-16,"전북남원시임실군순창군","무소속3",1.42302170632487,-0.409479024776423,3.36716764611872,1.42421694771638,0.483317317095708,0
"1884",2016-03-17,"전북남원시임실군순창군","무소속3",1.41562996229373,-0.714418067475979,3.39203542342145,1.41462072680091,0.502546767754202,0
"1885",2016-03-18,"전북남원시임실군순창군","무소속3",1.38744484545813,-0.705561100119418,3.18313294277982,1.38616100825847,0.508050450390961,0
"1886",2016-03-19,"전북남원시임실군순창군","무소속3",1.38088524034895,-0.83696392489812,3.31381824234989,1.37119219431502,0.521994487452141,0
"1887",2016-03-20,"전북남원시임실군순창군","무소속3",1.35775876482272,-0.579967239989567,3.34045570120143,1.35464097183015,0.518663911037418,0
"1888",2016-03-21,"전북남원시임실군순창군","무소속3",1.33455085190434,-0.425216695458955,3.28527085462134,1.33440899901179,0.512316236830327,0
"1889",2016-03-22,"전북남원시임실군순창군","무소속3",1.32321995694417,-0.510157752977064,3.36651827510201,1.32600436315839,0.495753496591436,0
