조사시작,중간날짜,조사끝,광역,선거구,,새누리당,더불어민주당,국민의당,정의당,무소속1,무소속2,무소속3,새누리당_1,더불어민주당_1,국민의당_1,정의당_1,무소속1_1,무소속2_1,무소속3_1,DK,조사 기관,언론사,조사방법,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,가중치,나이
2016-04-01,2016-04-02,2016-04-02,서울,용산구,서울용산구,0.362,0.325,0.075,0.026,0.000,0.000,0.000,0.459,0.412,0.095,0.033,0.000,0.000,0.000,0.212,㈜리서치앤리서치,MBC,유선RDD,전화면접,500,5.9,1.6,2
2016-03-27,2016-03-28,2016-03-28,서울,용산구,서울용산구,0.319,0.321,0.068,0.030,0.000,0.000,0.000,0.432,0.435,0.092,0.041,0.000,0.000,0.000,0.262,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,500,21.5,1.47,3
2016-04-04,2016-04-05,2016-04-05,서울,용산구,서울용산구,0.384,0.290,0.122,0.014,0.000,0.000,0.000,0.474,0.358,0.151,0.017,0.000,0.000,0.000,0.190,리서치앤리서치,동아일보,유선RDD,전화면접,504,7.8,2.44,3
2016-04-02,2016-04-04,2016-04-05,서울,용산구,서울용산구,0.389,0.347,0.113,0.029,0.000,0.000,0.000,0.443,0.395,0.129,0.033,0.000,0.000,0.000,0.122,TNSKOREA,SBS,유선RDD,전화면접,514,9,2.43,2
2016-03-29,2016-03-29,2016-03-29,서울,광진구을,서울광진구을,0.335,0.337,0.086,0.000,0.000,0.000,0.000,0.442,0.445,0.113,0.000,0.000,0.000,0.000,0.242,밀워드브라운미디어리서치,조선일보,유선RDD,전화면접,500,5.7,1.51,2
2016-03-21,2016-03-22,2016-03-22,서울,광진구을,서울광진구을,0.350,0.327,0.108,0.000,0.000,0.000,0.000,0.446,0.417,0.138,0.000,0.000,0.000,0.000,0.215,리얼미터,시민일보,유선/스마트폰앱혼합,전화면접,500,13.4,2.07,2
2016-04-01,2016-04-02,2016-04-03,서울,광진구을,서울광진구을,0.321,0.450,0.097,0.000,0.000,0.000,0.000,0.370,0.518,0.112,0.000,0.000,0.000,0.000,0.132,마크로밀엠브레인,YTN,유무선혼합RDD,ARS,511,5.1,2.06,3
2016-04-04,2016-04-05,2016-04-05,서울,동대문구을,서울동대문구을,0.302,0.484,0.000,0.000,0.000,0.000,0.000,0.384,0.616,0.000,0.000,0.000,0.000,0.000,0.214,마크로밀엠브레인,민병두,유무선혼합RDD,전화면접,529,8.2,1.1,3
2016-04-03,2016-04-04,2016-04-04,서울,중랑구을,서울중랑구을,0.347,0.317,0.083,0.000,0.028,0.021,0.000,0.436,0.398,0.104,0.000,0.035,0.026,0.000,0.204,마크로밀엠브레인,YTN,유무선혼합RDD,ARS,800,4.9,1.6,4
2016-04-01,2016-04-02,2016-04-03,서울,성북구갑,서울성북구갑,0.417,0.321,0.140,0.000,0.000,0.000,0.000,0.475,0.366,0.159,0.000,0.000,0.000,0.000,0.122,리얼미터,정태근후보  ,유선/스마트폰앱혼합,전화면접,504,10.9,1.51,3
2016-04-05,2016-04-06,2016-04-06,서울,성북구갑,서울성북구갑,0.357,0.346,0.109,0.000,0.000,0.000,0.000,0.440,0.426,0.134,0.000,0.000,0.000,0.000,0.188,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,503,18.3,1.23,4
2016-03-22,2016-03-23,2016-03-23,서울,성북구을,서울성북구을,0.320,0.235,0.080,0.039,0.000,0.000,0.000,0.475,0.349,0.119,0.058,0.000,0.000,0.000,0.326,(주)밀워드브라운미디어리서치,조선일보,유선RDD,전화면접,505,17.2,1.34,3
2016-04-01,2016-04-02,2016-04-03,서울,성북구을,서울성북구을,0.417,0.249,0.187,0.025,0.000,0.000,0.000,0.475,0.284,0.213,0.028,0.000,0.000,0.000,0.122,조원씨앤아이,김인원,유선RDD,ARS,1005,3,2.13,3
2016-03-31,2016-04-01,2016-04-01,서울,강북구갑,서울강북구갑,0.358,0.246,0.173,0.000,0.000,0.000,0.000,0.461,0.317,0.223,0.000,0.000,0.000,0.000,0.223,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,501,17.7,1.37,3
2016-04-02,2016-04-03,2016-04-03,서울,강북구을,서울강북구을,0.280,0.452,0.095,0.000,0.000,0.000,0.000,0.339,0.547,0.115,0.000,0.000,0.000,0.000,0.173,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,511,9.9,2.16,2
2016-03-25,2016-03-26,2016-03-26,서울,도봉구을,서울도봉구을,0.384,0.212,0.097,0.000,0.000,0.000,0.000,0.554,0.306,0.140,0.000,0.000,0.000,0.000,0.307,중앙일보조사연구팀/엠브레인,중앙일보,유무선혼합RDD,전화면접,513,9.1,1.3,2
2016-03-20,2016-03-21,2016-03-21,서울,도봉구을,서울도봉구을,0.429,0.224,0.119,0.000,0.000,0.000,0.000,0.556,0.290,0.154,0.000,0.000,0.000,0.000,0.228,(주)코리아리서치센터,"KBS,연합뉴스 ",유선RDD,ARS,502,1.7,2.4,2
2016-03-26,2016-03-27,2016-03-28,서울,노원구병,서울노원구병,0.334,0.130,0.387,0.041,0.000,0.000,0.000,0.374,0.146,0.434,0.046,0.000,0.000,0.000,0.108,TNS,SBS,유선RDD,전화면접,510,16.1,1.41,4
2016-03-24,2016-03-24,2016-03-24,서울,노원구병,서울노원구병,0.320,0.114,0.353,0.052,0.000,0.000,0.000,0.381,0.136,0.421,0.062,0.000,0.000,0.000,0.161,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,531,17,1.22,3
2016-03-20,2016-03-21,2016-03-21,서울,노원구병,서울노원구병,0.341,0.139,0.349,0.046,0.000,0.000,0.000,0.390,0.159,0.399,0.053,0.000,0.000,0.000,0.125,(주)코리아리서치센터,"KBS,연합뉴스 ",유선RDD,전화면접,600,16.4,1.09,3
2016-03-23,2016-03-24,2016-03-25,서울,노원구병,서울노원구병,0.295,0.145,0.320,0.035,0.000,0.000,0.000,0.371,0.182,0.403,0.044,0.000,0.000,0.000,0.205,리얼미터,MBN,유선RDD,전화면접,500,8.5,2.38,3
2016-03-30,2016-04-01,2016-04-02,서울,노원구병,서울노원구병,0.311,0.136,0.428,0.027,0.000,0.000,0.000,0.345,0.151,0.475,0.030,0.000,0.000,0.000,0.098,리얼미터,서울경제,유선RDD,ARS,653,1.8,1.02,4
2016-04-01,2016-04-02,2016-04-02,서울,노원구병,서울노원구병,0.333,0.123,0.436,0.016,0.000,0.000,0.000,0.367,0.135,0.480,0.018,0.000,0.000,0.000,0.092,포커스컴퍼니,문화일보,유선RDD,전화면접,600,16.4,1.41,3
2016-04-01,2016-04-02,2016-04-03,서울,노원구병,서울노원구병,0.337,0.152,0.339,0.045,0.000,0.000,0.000,0.386,0.174,0.388,0.052,0.000,0.000,0.000,0.127,조원씨앤아이,"국민일보,CBS",유선/스마트폰앱혼합,전화면접,509,9.7,1.7,3
2016-04-01,2016-04-02,2016-04-02,서울,노원구병,서울노원구병,0.300,0.139,0.393,0.018,0.000,0.000,0.000,0.353,0.164,0.462,0.021,0.000,0.000,0.000,0.150,㈜리서치앤리서치,MBC,유선RDD,전화면접/ARS,508,5.6,2.35,3
2016-04-05,2016-04-06,2016-04-06,서울,노원구병,서울노원구병,0.302,0.133,0.430,0.028,0.000,0.000,0.000,0.338,0.149,0.482,0.031,0.000,0.000,0.000,0.107,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,500,8.8,2,3
2016-04-04,2016-04-05,2016-04-05,서울,노원구병,서울노원구병,0.305,0.137,0.406,0.025,0.000,0.000,0.000,0.349,0.157,0.465,0.029,0.000,0.000,0.000,0.127,리서치앤리서치,동아일보,유선RDD,전화면접,504,16.8,1.31,3
2016-04-02,2016-04-04,2016-04-05,서울,노원구병,서울노원구병,0.300,0.104,0.457,0.032,0.000,0.000,0.000,0.336,0.116,0.512,0.036,0.000,0.000,0.000,0.107,TNSKOREA,SBS,유선RDD,전화면접,502,5.2,2.41,3
2016-03-26,2016-03-27,2016-03-28,서울,은평구을,서울은평구을,0.000,0.197,0.160,0.063,0.344,0.017,0.000,0.000,0.252,0.205,0.081,0.440,0.022,0.000,0.219,TNS,SBS,유선RDD,전화면접,504,5.8,2.34,2
2016-03-31,2016-04-02,2016-04-03,서울,은평구을,서울은평구을,0.000,0.173,0.191,0.062,0.308,0.042,0.000,0.000,0.223,0.246,0.080,0.397,0.054,0.000,0.224,리얼미터,MBN,유선RDD,전화면접,514,12.3,2.41,4
